id_transacao,id_cartao,data_transacao,valor,mcc,estabelecimento,canal,pais,moeda
1,58,2026-05-29,818.22,4829,Loja_19,ONLINE,BR,BRL
2,142,2026-06-07,1260.52,5812,Loja_41,PRESENCIAL,BR,BRL
3,165,2026-06-21,3076.0,4829,Loja_38,ONLINE,BR,BRL
4,155,2026-05-30,864.29,4829,Loja_3,ONLINE,BR,BRL
5,198,2026-04-30,415.3,7011,Loja_42,ONLINE,BR,BRL
6,164,2026-07-09,3837.13,7995,Loja_41,MOBILE,BR,BRL
7,124,2026-06-11,1455.46,7995,Loja_20,PRESENCIAL,BR,BRL
8,113,2026-05-20,374.14,7995,Loja_30,ONLINE,BR,BRL
9,184,2026-06-02,1707.56,7011,Loja_26,ONLINE,BR,BRL
10,28,2026-06-02,3805.72,5812,Loja_30,ONLINE,BR,BRL
11,25,2026-07-06,1344.68,7011,Loja_25,MOBILE,BR,BRL
12,41,2026-06-01,2096.49,4829,Loja_47,PRESENCIAL,BR,BRL
13,132,2026-05-14,957.27,7995,Loja_20,PRESENCIAL,BR,BRL
14,130,2026-05-15,125.65,5812,Loja_14,MOBILE,BR,BRL
15,127,2026-04-27,1770.95,7995,Loja_19,MOBILE,BR,BRL
16,35,2026-06-09,50.81,7011,Loja_49,PRESENCIAL,BR,BRL
17,146,2026-05-02,1836.03,5812,Loja_24,MOBILE,BR,BRL
18,116,2026-05-03,1450.12,7011,Loja_40,MOBILE,BR,BRL
19,25,2026-05-23,3059.11,7011,Loja_22,MOBILE,BR,BRL
20,51,2026-04-26,4695.35,4829,Loja_26,MOBILE,BR,BRL
21,183,2026-05-31,210.87,7995,Loja_34,PRESENCIAL,BR,BRL
22,36,2026-06-01,753.21,4829,Loja_21,ONLINE,BR,BRL
23,77,2026-04-28,1970.84,7011,Loja_33,MOBILE,BR,BRL
24,77,2026-05-13,2666.38,5411,Loja_24,PRESENCIAL,BR,BRL
25,150,2026-06-03,3372.29,5411,Loja_39,PRESENCIAL,BR,BRL
26,199,2026-04-29,1335.0,4829,Loja_15,MOBILE,BR,BRL
27,135,2026-04-23,266.26,4829,Loja_50,PRESENCIAL,BR,BRL
28,9,2026-04-30,747.4,5411,Loja_13,ONLINE,BR,BRL
29,106,2026-04-15,2210.78,5812,Loja_27,MOBILE,BR,BRL
30,189,2026-07-05,3877.11,5812,Loja_34,ONLINE,BR,BRL
31,123,2026-05-06,2808.82,7995,Loja_21,ONLINE,BR,BRL
32,140,2026-05-28,2303.72,7011,Loja_40,PRESENCIAL,BR,BRL
33,143,2026-06-04,969.4,5812,Loja_20,PRESENCIAL,BR,BRL
34,126,2026-06-02,3527.46,7995,Loja_23,MOBILE,BR,BRL
35,71,2026-06-06,4669.16,5411,Loja_37,MOBILE,BR,BRL
36,102,2026-05-29,2720.52,5812,Loja_19,ONLINE,BR,BRL
37,89,2026-05-17,1445.28,7011,Loja_48,PRESENCIAL,BR,BRL
38,70,2026-05-02,1077.79,7011,Loja_9,ONLINE,BR,BRL
39,63,2026-07-06,3082.23,4829,Loja_15,MOBILE,BR,BRL
40,85,2026-05-13,1171.85,5411,Loja_44,ONLINE,BR,BRL
41,41,2026-05-21,35.86,7995,Loja_31,MOBILE,BR,BRL
42,83,2026-06-06,1005.29,5411,Loja_50,ONLINE,BR,BRL
43,190,2026-07-08,3264.97,5812,Loja_27,ONLINE,BR,BRL
44,102,2026-05-10,4670.27,5812,Loja_48,PRESENCIAL,BR,BRL
45,146,2026-04-26,-4384.95,5411,Loja_22,PRESENCIAL,BR,BRL
46,135,2026-05-10,2277.2,5812,Loja_33,PRESENCIAL,BR,BRL
47,85,2026-06-22,1371.46,7995,Loja_42,PRESENCIAL,BR,BRL
48,87,2026-06-05,-3595.8,4829,Loja_44,ONLINE,BR,BRL
49,104,2026-05-19,885.72,4829,Loja_21,ONLINE,BR,BRL
50,36,2026-05-12,2010.16,7011,Loja_16,ONLINE,BR,BRL
51,193,2026-06-08,1311.32,7011,Loja_20,MOBILE,BR,BRL
52,168,2026-05-27,-3617.18,5812,Loja_4,MOBILE,BR,BRL
53,104,2026-04-16,599.94,4829,Loja_46,PRESENCIAL,BR,BRL
54,76,2026-05-26,3454.55,4829,Loja_15,ONLINE,BR,BRL
55,117,2026-04-26,4787.23,7011,Loja_27,MOBILE,BR,BRL
56,138,2026-04-18,2750.68,5812,Loja_49,ONLINE,BR,BRL
57,21,2026-05-06,3404.91,7995,Loja_34,MOBILE,BR,BRL
58,29,2026-07-05,1815.31,4829,Loja_33,ONLINE,BR,BRL
59,84,2026-05-07,2867.78,7995,Loja_8,MOBILE,BR,BRL
60,24,2026-05-08,1034.95,7995,Loja_4,PRESENCIAL,BR,BRL
61,145,2026-07-05,668.4,4829,Loja_30,MOBILE,BR,BRL
62,102,2026-06-10,4036.51,5411,Loja_48,ONLINE,BR,BRL
63,89,2026-04-14,2895.77,5411,Loja_35,ONLINE,BR,BRL
64,121,2026-07-08,4673.57,7011,Loja_27,ONLINE,BR,BRL
65,187,2026-04-21,3847.17,7995,Loja_24,PRESENCIAL,BR,BRL
66,97,2026-05-25,2248.2,5411,Loja_44,MOBILE,BR,BRL
67,90,2026-06-27,4374.02,5812,Loja_35,PRESENCIAL,BR,BRL
68,58,2026-07-12,2648.92,5411,Loja_20,PRESENCIAL,BR,BRL
69,137,2026-05-25,3370.76,5812,Loja_16,PRESENCIAL,BR,BRL
70,186,2026-06-28,1737.34,5411,Loja_43,PRESENCIAL,BR,BRL
71,5,2026-06-12,3078.47,5812,Loja_5,ONLINE,BR,BRL
72,173,2026-04-13,2973.78,5411,Loja_16,MOBILE,BR,BRL
73,139,2026-06-15,230.74,5411,Loja_9,MOBILE,BR,BRL
74,188,2026-04-30,4967.48,7011,Loja_37,MOBILE,BR,BRL
75,61,2026-06-04,3864.97,5812,Loja_43,MOBILE,BR,BRL
76,16,2026-05-02,1113.0,4829,Loja_48,ONLINE,BR,BRL
77,127,2026-07-06,3133.71,7011,Loja_42,MOBILE,BR,BRL
78,179,2026-05-20,1911.96,7995,Loja_10,PRESENCIAL,BR,BRL
79,122,2026-06-12,1888.54,5812,Loja_20,MOBILE,BR,BRL
80,15,2026-05-02,730.32,7995,Loja_27,MOBILE,BR,BRL
81,66,2026-06-16,2654.66,7011,Loja_42,ONLINE,BR,BRL
82,24,2026-05-05,4611.91,5812,Loja_4,PRESENCIAL,BR,BRL
83,11,2026-07-03,1892.07,5812,Loja_49,MOBILE,BR,BRL
84,123,2026-06-16,3624.28,7011,Loja_20,ONLINE,BR,BRL
85,190,2026-06-27,1066.92,7995,Loja_16,MOBILE,BR,BRL
